Year,LEA Name,INDIAN Male,INDIAN Female,ASIAN Male,ASIAN Female,HISPANIC Male,HISPANIC Female,BLACK Male,BLACK Female,WHITE Male,WHITE Female,PACIFIC ISLAND  Male,PACIFIC ISLAND  Female,TWO OR MORE Male,TWO OR MOREFemale,Total
2022,Polk County Schools,000,000,007,005,124,140,062,048,765,774,001,000,044,058,2028
2022,Randolph County Schools,020,030,176,164,1510,1521,315,263,5342,5013,003,006,354,321,15038
2022,Richmond County Schools,098,097,037,022,445,450,1239,1152,1361,1319,007,006,225,193,6651
2022,Roanoke Rapids City Schools,005,002,033,023,109,112,416,304,773,708,003,000,045,061,2594
2022,Robeson County Schools,4006,3890,072,051,2124,2040,2460,2347,1149,1058,025,008,587,566,20383
2022,Rockingham County Schools,007,005,021,030,886,797,1084,1031,3218,3050,002,004,364,379,10878
2022,Rowan-Salisbury County Schools,026,021,080,073,1966,1881,1731,1654,4873,4459,004,008,585,541,17902
2022,Rutherford County Schools,005,005,014,011,414,369,443,400,2740,2417,001,003,251,282,7355
2022,Sampson County Schools,033,039,011,009,1713,1577,685,650,1411,1252,004,005,138,154,7681
2022,Scotland County Schools,446,403,034,017,112,092,1274,1268,697,622,003,003,157,167,5295
2022,Stanly County Schools,012,009,104,141,396,433,642,556,2831,2649,003,001,255,248,8280
2022,Stokes County Schools,001,005,013,003,160,151,070,076,2474,2239,001,000,113,116,5422
2022,Surry County Schools,001,004,013,012,913,874,080,072,2488,2431,000,000,108,101,7097
2022,Swain County Schools,162,193,007,008,058,055,008,002,629,585,000,001,069,067,1844
2022,Thomasville City Schools,004,002,007,012,434,373,384,418,174,185,001,001,077,103,2175
2022,Transylvania County Schools,003,004,005,009,184,181,071,058,1301,1228,003,001,096,114,3258
2022,Tyrrell County Schools,000,000,002,004,064,063,080,079,110,075,000,001,013,022,513
2022,Union County Schools,041,034,1312,1337,4042,3952,2459,2375,11971,11062,011,014,876,856,40342
2022,Vance County Schools,002,001,019,029,421,397,1724,1659,305,309,003,000,097,101,5067
2022,Wake County Schools,217,182,8750,8546,15322,14612,18067,17252,35713,33572,088,093,3131,3109,158654
2022,Warren County Schools,047,066,001,006,082,073,559,561,121,112,001,000,042,040,1711
2022,Washington County Schools,001,000,001,004,041,039,435,398,041,046,000,000,016,018,1040
